F0213020,电子设计自动化技术B
UoG13005,电子系统设计
H0606220,电子线路CAD
G0105040,电子信息对抗原理
H0204320,电子信息工程综合实验
G1602630,电子政务原理与实务
L0946040,动画项目企业实训
W1413110,动手造物-生物与工程互融（挑战性课程）
H1402430,动物生理学
H1407020,动物生理学
H1725520,对外汉语教学法
H0820730,多媒体技术
H0911520,多媒体技术基础
H0918420,多媒体应用编程
H0920430,多媒体应用基础
G1401020,发酵工程
H0309320,发射发光材料
R1741020,法国经典文学选读
G1726020,法国社会与文化I
G1725820,法国文学I
H1730220,法国戏剧表演
E1601135,法理学
A1610820,法律与社会
E1600230,法学原理
G1728420,法语词汇学
P1741260,法语精读I
R1741860,法语精读III
F1727620,法语口译
H1725620,法语外报选读
E1726720,法语语法III
H1713220,翻译理论与实践
G1721620,翻译理论与实践I
G1000620,飞行控制原理
G1000520,飞行力学基础
H0804630,分布式并行计算
E0306930,分析化学
E1409830,分子生物学
G1400540,分子生物学
K1400620,分子生物学实验
E0400520,复变函数
E0600220,复变函数
D2700540,复变函数与数理方程
D1100735,概率论与数理统计
D1111920,概率论与数理统计
D1410220,概率论与数理统计
IntP1100235,概率论与数理统计
P1117130,概率论与数理统计
UoG12002,概率论与数理统计
P1117350,高等代数Ⅰ
P2700840,高等代数与几何I
D2703040,高等代数与几何II
YK1700760,高等数学 I
P2700960,高等微积分I
D2704750,高等微积分II
D2703730,高等微积分III
F0415330,高电压技术
H0405325,高电压技术
B2073610,高尔夫D
E1726440,高级法语精读I
F1727320,高级法语视听说
G1729520,高级法语写作 I
R6900340,高级汉语I
H0807830,高级计算机图形学
G1707080,高级日语I
H1712340,高级日语III
H1706620,高级日语会话
H1706320,高级日语听力
E0204220,高级微电子技术
B1700620,高级英语读写
B1700720,高级英语听说
E1201425,高级语言程序设计
E1500130,高级语言程序设计
E1601330,高级语言程序设计
E3404920,高级语言程序设计
F0502030,高级语言程序设计
H0103440,高级语言程序设计
H0201920,高级语言程序设计
H0211815,高级语言程序设计
H0400420,高级语言程序设计
H3400515,高级语言程序设计
R0111835,高级语言程序设计
S1114940,高级语言程序设计
H1400540,高级语言程序设计（C语言）
E1201530,高频电子线路
F0500930,高频与射频电路
H0416520,高压电器
IntE0400720,工程材料
G0402020,工程材料/互换性技术
P0428120,工程材料及热处理
E0415625,工程经济学
E0401230,工程控制基础
P0422820,工程控制基础
F0405530,工程力学
F1000430,工程力学
IntE0402140,工程力学
R1013230,工程力学Ⅰ
R0113907,工程伦理与社会责任
E0200220,工程数学
E0511020,工程数学
E0420020,工程微分几何
UoG11020,工程英语 I
UoG12016,工程英语 III
E0415425,工业工程基础
H0600925,工业机器人技术
E0414240,工业控制器原理及应用技术
E1600640,公共管理学
R1615130,公共管理学
F1613830,公共管理专业导论
E1601430,公共经济学
F1602030,公共事业管理
H1603830,公共事业管理法
B1700520,公共演讲
H1603430,公共预算与财政管理
R1621830,公共政策概论
I1611120,公共政策与政策工具分析
R1621335,公检法运行机制研究
H1504030,公司金融
F1602320,公文写作与处理
H1506020,供应链金融
H1504420,固定收益证券
E0216845,固体电子学基础
E0200440,固体物理
E0302540,固体物理
P0310335,固体物理
G1202640,固体物理学
E0500740,固体与半导体物理
A1611520,管理方法与艺术
H1503020,管理沟通
H1603730,管理沟通原理与方法
R1618730,管理统计分析方法
E1607530,管理信息系统
E1576530,管理学
G0501120,光电材料与器件
G0508630,光电探测原理
H0506530,光电图像处理
H0514530,光电系统工程设计（挑战性课程）
F0217020,光电子技术
H1204020,光通信原理与技术
G0144615,光纤通信
E1201240,光学
E1202535,光学
F1212530,光学
G0610220,光学工程与精密仪器
H1605730,国际法学
H1711920,国际贸易实务
G0620240,过程控制系统（含过控仪表）
H1730820,汉日语言对比研讨课
G1716520,汉译英
B0414120,汉语论文写作
