H0415825,物流网络与信息化
H0416430,电能质量分析
H0420320,现代电力电子应用挑战实验
H0453430,STM32与嵌入式实时操作系统
H0488910,电气控制与现场总线技术
H0502130,嵌入式系统
H0502240,电子离子光学
H0503320,通信原理
H0504120,声光技术
H0506530,光电图像处理
H0509125,薄膜晶体管原理与技术
H0509230,物理电子技术综合实验
H0509320,微传感器技术
H0509420,光电聚合物器件
H0509520,红外物理与技术
H0509620,现代分析测试技术
H0509825,固体成像与信息显示
H0509930,信息显示与光电技术综合实验
H0510410,科学前沿与新技术
H0510630,光通信与光电工程综合实验
H0510720,发光原理与材料
H0511820,薄膜物理与技术
H0512315,光电图像处理系统实验
H0512420,光电检测综合设计实验
H0512720,生物医学光子学
H0512910,红外线里看世界
H0513520,信息显示与光电技术综合实验
H0513930,显示器件驱动技术
H0514710,第三代半导体应用前沿
H0514810,纳米光子学研究前沿
H0515810,纳米光电材料和超材料的前沿应用
H0515910,光机电算一体化挑战性实验（一）
H0516510,光视觉和光听觉
H0516710,新颖光学成像
H0600120,数值计算方法
H0600230,嵌入式系统设计
H0600330,数字信号处理
H0600420,供配电系统
H0600530,运动控制系统
H0600620,专业英语
H0600725,工业控制网络技术
H0601025,检测与转换
H0601220,机器学习
H0601320,机器人、机器视觉及信息物理系统的控制理论及应用
H0601510,先进传感无损检测前沿技术
H0601640,单片机原理与接口技术
H0601815,智能科学与技术
H0602220,现代控制理论基础
H0602330,控制系统仿真
H0603120,未来电子学原理
H0610420,数据采集与处理技术
H0610530,虚拟仪器与网络测试技术
H0610630,数字系统EDA技术
H0610730,锁相与频率合成
H0610830,光电检测技术
H0610920,电路与电子系统故障诊断
H0611010,测试技术新专题
H0620230,电气控制与PLC原理及应用
H0620320,现场总线技术
H0620630,数字图像处理
H0620720,系统工程导论
H0620820,电力系统概论
H0640220,C语言
H0702020,资源环境遥感
H0702320,人工智能导论
H0702520,通信原理
H0702620,计算机网络
H0702720,雷达系统原理及应用
H0704920,大气污染控制
H0705020,水和污水处理
H0707620,导航定位技术
H0708320,科技论文写作
H0800110,计算机基础实验
H0800520,数字化转型：基础 - 转型 - 创新
H0803030,计算机图形学
H0803130,三维图形程序设计
H0803220,组合数学
H0803330,计算数学基础
H0803530,多媒体技术
H0804130,计算机网络编程
H0804330,数据挖掘
H0804430,基于操作系统编程技术
H0804630,分布式并行计算
H0804730,Unix操作系统
H0806520,网络与信息系统安全综合设计实验
H0807320,网络空间安全：基础与创新
H0807530,网络游戏软件设计
H0807830,高级计算机图形学
H0808920,分布式并行计算
H0810220,计算理论初探
H0810320,人工智能
H0810420,空间信息数据库
H0810520,软件开发系统级技术基础
H0813410,大数据安全技术
H0813510,网络科学导论
H0815620,计算机视觉与模式识别
